T,Cv
0.5,1217.77132501
0.505457,1214.84731152
0.510973,1193.93892854
0.516549,1111.71665315
0.522186,1053.02583818
0.527885,996.225179214
0.533645,993.507913364
0.539469,917.177447559
0.545356,878.143788155
0.551308,854.653745026
0.557324,850.017486653
0.563407,820.097710703
0.569555,807.764326199
0.575771,861.426917765
0.582054,868.955903919
0.588406,977.569473643
0.594827,1139.05571895
0.601319,1361.72472751
0.607881,1568.52802201
0.614515,1767.89586163
0.621221,1883.82151773
0.628,1829.64246207
0.634854,1776.18279358
0.641782,1631.58619926
0.648786,1517.66685766
0.655866,1391.64223583
0.663024,1308.70032691
0.670259,1269.71483361
0.677574,1225.2757489
0.684968,1163.98832463
0.692443,1105.69904013
0.7,1033.30587521
