T,fitted_Cv
0.5,942.143438102
0.502,902.552099213
0.504,864.243502291
0.506,827.197415193
0.508,791.393605778
0.51,756.811841904
0.512,723.431891431
0.514,691.233522216
0.516,660.196502118
0.518,630.300598996
0.52,601.525580707
0.522,573.851215112
0.524,547.257270067
0.526,521.723513432
0.528,497.229713066
0.53,473.755636825
0.532,451.28105257
0.534,429.785728159
0.536,409.24943145
0.538,389.651930302
0.54,370.972992572
0.542,353.192386121
0.544,336.289878806
0.546,320.245238485
0.548,305.038233018
0.55,290.648630263
0.552,277.056198078
0.554,264.240704321
0.556,252.181916852
0.558,240.859603529
0.56,230.25353221
0.562,220.343470754
0.564,211.10918702
0.566,202.530448865
0.568,194.587024149
0.57,187.25868073
0.572,180.525186466
0.574,174.366309216
0.576,168.761816838
0.578,163.691477191
0.58,159.135058134
0.582,155.072327525
0.584,151.483053223
0.586,148.347003085
0.588,145.643944971
0.59,143.353646739
0.592,141.455876248
0.594,139.930401355
0.596,138.756989921
0.598,137.915409802
0.6,137.385428858
0.602,137.146814947
0.604,137.179335928
0.606,137.462759659
0.608,137.976853998
0.61,138.701386805
0.612,139.616125938
0.614,140.700839254
0.616,141.935294614
0.618,143.299259874
0.62,144.772502895
0.622,146.334791533
0.624,147.965893649
0.626,149.645577099
0.628,151.353609744
0.63,153.069759441
0.632,154.773794048
0.634,156.445481425
0.636,158.06458943
0.638,159.610885921
0.64,161.064138758
0.642,162.404115797
0.644,163.610584899
0.646,164.66331392
0.648,165.542070721
0.65,166.226623159
0.652,166.696739094
0.654,166.932186382
0.656,166.912732884
0.658,166.618146457
0.66,166.02819496
0.662,165.122646252
0.664,163.881268191
0.666,162.283828635
0.668,160.310095444
0.67,157.939836475
0.672,155.152819587
0.674,151.928812638
0.676,148.247583488
0.678,144.088899995
0.68,139.432530016
0.682,134.258241412
0.684,128.545802039
0.686,122.274979757
0.688,115.425542425
0.69,107.9772579
0.692,99.9098940411
0.694,91.2032187072
0.696,81.8369997565
0.698,71.7910050476
